time,close
2021-04-07 10:49:00,1.18742
2021-04-07 10:50:00,1.18751
2021-04-07 10:51:00,1.18744
2021-04-07 10:52:00,1.1874
2021-04-07 10:53:00,1.1875
2021-04-07 10:54:00,1.18745
2021-04-07 10:55:00,1.18773
2021-04-07 10:56:00,1.18766
2021-04-07 10:57:00,1.18776
2021-04-07 10:58:00,1.18801
2021-04-07 10:59:00,1.18782
2021-04-07 11:00:00,1.18756
2021-04-07 11:01:00,1.18771
2021-04-07 11:02:00,1.18781
2021-04-07 11:03:00,1.18782
2021-04-07 11:04:00,1.18777
2021-04-07 11:05:00,1.18777
2021-04-07 11:06:00,1.18758
2021-04-07 11:07:00,1.18768
2021-04-07 11:08:00,1.18766
2021-04-07 11:09:00,1.1877
2021-04-07 11:10:00,1.18743
2021-04-07 11:11:00,1.18742
2021-04-07 11:12:00,1.18739
2021-04-07 11:13:00,1.18735
2021-04-07 11:14:00,1.18727
2021-04-07 11:15:00,1.187
2021-04-07 11:16:00,1.18685
2021-04-07 11:17:00,1.1868
2021-04-07 11:18:00,1.18678
2021-04-07 11:19:00,1.18665
2021-04-07 11:20:00,1.18694
2021-04-07 11:21:00,1.18696
2021-04-07 11:22:00,1.18682
2021-04-07 11:23:00,1.18684
2021-04-07 11:24:00,1.18661
2021-04-07 11:25:00,1.1868
2021-04-07 11:26:00,1.18655
2021-04-07 11:27:00,1.18653
2021-04-07 11:28:00,1.18665
2021-04-07 11:29:00,1.18665
2021-04-07 11:30:00,1.1868
2021-04-07 11:31:00,1.1867
2021-04-07 11:32:00,1.18693
2021-04-07 11:33:00,1.1871
2021-04-07 11:34:00,1.187
2021-04-07 11:35:00,1.18704
2021-04-07 11:36:00,1.18727
2021-04-07 11:37:00,1.18755
2021-04-07 11:38:00,1.18754
2021-04-07 11:39:00,1.18735
2021-04-07 11:40:00,1.18731
2021-04-07 11:41:00,1.18737
2021-04-07 11:42:00,1.18724
2021-04-07 11:43:00,1.18729
2021-04-07 11:44:00,1.18748
2021-04-07 11:45:00,1.18767
2021-04-07 11:46:00,1.18779
2021-04-07 11:47:00,1.18788
2021-04-07 11:48:00,1.18779
2021-04-07 11:49:00,1.18795
2021-04-07 11:50:00,1.18817
2021-04-07 11:51:00,1.18839
2021-04-07 11:52:00,1.18841
2021-04-07 11:53:00,1.18853
2021-04-07 11:54:00,1.1886
2021-04-07 11:55:00,1.18835
2021-04-07 11:56:00,1.18845
2021-04-07 11:57:00,1.18841
2021-04-07 11:58:00,1.18844
2021-04-07 11:59:00,1.18854
2021-04-07 12:00:00,1.18854
2021-04-07 12:01:00,1.18843
2021-04-07 12:02:00,1.18859
2021-04-07 12:03:00,1.1885
2021-04-07 12:04:00,1.18843
2021-04-07 12:05:00,1.18848
2021-04-07 12:06:00,1.1885
2021-04-07 12:07:00,1.18851
2021-04-07 12:08:00,1.18856
2021-04-07 12:09:00,1.18856
2021-04-07 12:10:00,1.1888
2021-04-07 12:11:00,1.18879
2021-04-07 12:12:00,1.18867
2021-04-07 12:13:00,1.18866
2021-04-07 12:14:00,1.18851
2021-04-07 12:15:00,1.18836
2021-04-07 12:16:00,1.18823
2021-04-07 12:17:00,1.18816
2021-04-07 12:18:00,1.18815
2021-04-07 12:19:00,1.18805
2021-04-07 12:20:00,1.18813
2021-04-07 12:21:00,1.1881
2021-04-07 12:22:00,1.1882
2021-04-07 12:23:00,1.18825
2021-04-07 12:24:00,1.18816
2021-04-07 12:25:00,1.18815
2021-04-07 12:26:00,1.18812
2021-04-07 12:27:00,1.1882
2021-04-07 12:28:00,1.1882
2021-04-07 12:29:00,1.18805
2021-04-07 12:30:00,1.18801
2021-04-07 12:31:00,1.18799
2021-04-07 12:32:00,1.18786
2021-04-07 12:33:00,1.18784
2021-04-07 12:34:00,1.18795
2021-04-07 12:35:00,1.18804
2021-04-07 12:36:00,1.18805
2021-04-07 12:37:00,1.18804
2021-04-07 12:38:00,1.18812
2021-04-07 12:39:00,1.18814
2021-04-07 12:40:00,1.18803
2021-04-07 12:41:00,1.18782
2021-04-07 12:42:00,1.18796
2021-04-07 12:43:00,1.18793
2021-04-07 12:44:00,1.1878
2021-04-07 12:45:00,1.1877
2021-04-07 12:46:00,1.18785
2021-04-07 12:47:00,1.18807
2021-04-07 12:48:00,1.1881
2021-04-07 12:49:00,1.18822
2021-04-07 12:50:00,1.18834
2021-04-07 12:51:00,1.18842
2021-04-07 12:52:00,1.18828
