time,open,high,low,close,tick_volume,spread,real_volume
1367539200,1.3062,1.3067,1.30605,1.30634,690,1,0
1367542800,1.30634,1.3069600000000001,1.30624,1.30658,904,1,0
1367546400,1.30655,1.30719,1.30615,1.30714,923,4,0
1367550000,1.30715,1.3073000000000001,1.30687,1.3072599999999999,669,1,0
1367553600,1.30727,1.30775,1.30724,1.30754,681,4,0
1367557200,1.30752,1.30755,1.3072,1.30725,620,4,0
1367560800,1.30718,1.30745,1.3070599999999999,1.30713,600,1,0
1367564400,1.30714,1.30752,1.30684,1.30727,745,4,0
1367568000,1.3072599999999999,1.31121,1.30639,1.31052,2403,1,0
1367571600,1.31054,1.3108,1.3088,1.31056,2842,2,0
1367575200,1.31053,1.3130899999999999,1.31,1.3128199999999999,2475,4,0
1367578800,1.3128199999999999,1.31372,1.31185,1.31211,2429,1,0
1367582400,1.3121,1.3136,1.31175,1.3119100000000001,1941,1,0
1367586000,1.3119,1.3128,1.30923,1.311,2613,1,0
1367589600,1.3109899999999999,1.31454,1.30323,1.30446,4336,1,0
1367593200,1.30445,1.31261,1.30437,1.31125,4602,1,0
1367596800,1.31127,1.31582,1.3112,1.31148,4288,4,0
1367600400,1.31151,1.31247,1.31066,1.31108,2292,1,0
1367604000,1.31109,1.31206,1.3102,1.3106,1463,2,0
1367607600,1.31063,1.3113000000000001,1.3103799999999999,1.31041,930,4,0
1367611200,1.31042,1.31168,1.31027,1.31091,1085,1,0
1367614800,1.31089,1.3118,1.3107,1.31174,1002,4,0
1367618400,1.31174,1.31201,1.3112,1.31131,1194,4,0
1367798400,1.3117,1.3118,1.31103,1.3113299999999999,622,1,0
1367802000,1.3113299999999999,1.3126,1.31118,1.31203,575,1,0
1367805600,1.31206,1.31346,1.31165,1.31338,1137,1,0
1367809200,1.31339,1.31406,1.3123,1.3126,1370,4,0
1367812800,1.31261,1.31267,1.31196,1.31234,787,4,0
1367816400,1.31234,1.31251,1.31201,1.3124,518,4,0
1367820000,1.31238,1.31241,1.31174,1.31209,679,3,0
1367823600,1.3121,1.3122099999999999,1.3117,1.31185,689,1,0
1367827200,1.3119,1.3123,1.3103500000000001,1.31067,1637,1,0
1367830800,1.31066,1.3115,1.30921,1.3115,2212,2,0
1367834400,1.31151,1.312,1.31015,1.31077,1897,4,0
1367838000,1.31077,1.31142,1.31,1.31078,1596,1,0
1367841600,1.3108,1.31141,1.30985,1.3099,1358,1,0
1367845200,1.30994,1.311,1.30975,1.31025,1419,4,0
1367848800,1.31024,1.31161,1.31017,1.31081,1869,4,0
1367852400,1.3108,1.31097,1.30979,1.3099,1935,1,0
1367856000,1.30989,1.31109,1.3054999999999999,1.30573,2794,1,0
1367859600,1.3057,1.30732,1.30534,1.30658,1824,4,0
1367863200,1.30659,1.30754,1.30652,1.30743,848,1,0
1367866800,1.3075,1.3081,1.3068,1.30788,896,4,0
1367870400,1.3079100000000001,1.30856,1.30745,1.30771,796,4,0
1367874000,1.30775,1.3079,1.30734,1.30734,632,4,0
1367877600,1.30735,1.30774,1.3072599999999999,1.3075700000000001,649,4,0
1367881200,1.3075700000000001,1.30771,1.30722,1.30727,613,4,0
1367884800,1.30728,1.30752,1.3071,1.3074,492,1,0
1367888400,1.30739,1.30761,1.30683,1.30727,627,4,0
1367892000,1.3072599999999999,1.30795,1.30677,1.30779,1196,4,0
1367895600,1.30778,1.30813,1.30698,1.30782,1355,4,0
1367899200,1.30782,1.30806,1.30745,1.3079399999999999,811,4,0
1367902800,1.30793,1.30811,1.30763,1.30797,710,4,0
1367906400,1.30795,1.30893,1.30782,1.3082099999999999,1360,1,0
1367910000,1.3082,1.3094299999999999,1.30802,1.30884,1334,1,0
1367913600,1.30888,1.30902,1.30678,1.30732,1970,1,0
1367917200,1.30732,1.30893,1.30705,1.30806,2162,1,0
1367920800,1.30809,1.30851,1.3073000000000001,1.3079100000000001,2037,1,0
1367924400,1.30792,1.30823,1.30688,1.30777,2210,1,0
1367928000,1.30778,1.31216,1.30778,1.31189,3019,1,0
1367931600,1.3119100000000001,1.31315,1.31166,1.31167,2155,4,0
1367935200,1.31166,1.31179,1.31043,1.31155,2244,1,0
1367938800,1.31154,1.31269,1.311,1.31107,2290,1,0
1367942400,1.31103,1.31166,1.30732,1.3085200000000001,2954,4,0
1367946000,1.3085499999999999,1.30924,1.3078,1.3084,1803,4,0
1367949600,1.30839,1.30875,1.30817,1.30826,941,4,0
1367953200,1.30829,1.30884,1.3081800000000001,1.30859,865,1,0
1367956800,1.3086,1.3086,1.308,1.30858,754,2,0
1367960400,1.30858,1.30862,1.3073000000000001,1.30771,912,1,0
1367964000,1.3077,1.308,1.3075700000000001,1.30777,792,1,0
1367967600,1.3078699999999999,1.30793,1.30747,1.3078699999999999,956,4,0
1367971200,1.3078699999999999,1.3079,1.3073000000000001,1.3075999999999999,840,4,0
1367974800,1.30762,1.30786,1.30742,1.3075,568,4,0
1367978400,1.30752,1.30826,1.30715,1.3075999999999999,1006,4,0
1367982000,1.3075999999999999,1.30976,1.30746,1.30912,1421,4,0
1367985600,1.3091300000000001,1.30956,1.3087,1.30881,1081,4,0
1367989200,1.30881,1.3091300000000001,1.30858,1.30903,610,3,0
1367992800,1.309,1.3094299999999999,1.30883,1.30918,690,1,0
1367996400,1.30918,1.3094299999999999,1.30901,1.30925,1082,4,0
1368000000,1.30922,1.31204,1.30919,1.31138,2306,1,0
1368003600,1.31139,1.31151,1.3092,1.30953,2476,2,0
1368007200,1.30953,1.31301,1.3087,1.31217,2711,1,0
1368010800,1.31215,1.31262,1.31036,1.31235,2383,1,0
1368014400,1.31235,1.3147199999999999,1.3122,1.31265,2644,1,0
1368018000,1.31266,1.3134700000000001,1.31205,1.31278,1959,1,0
1368021600,1.31276,1.31744,1.31276,1.31604,3741,3,0
1368025200,1.31601,1.31771,1.3159,1.31707,2862,1,0
1368028800,1.31708,1.3183500000000001,1.31559,1.31737,2619,1,0
1368032400,1.3173599999999999,1.31944,1.3170899999999999,1.31762,2380,4,0
1368036000,1.31764,1.31833,1.31677,1.3171,1265,1,0
1368039600,1.3171,1.31747,1.31628,1.3164,1092,4,0
1368043200,1.31636,1.31647,1.31576,1.3159100000000001,1103,4,0
1368046800,1.31595,1.31602,1.31516,1.3155000000000001,1197,2,0
1368050400,1.3155000000000001,1.31575,1.31509,1.31517,921,1,0
1368054000,1.31518,1.31601,1.31513,1.316,960,1,0
1368057600,1.31592,1.31612,1.31532,1.31604,1026,1,0
1368061200,1.31605,1.31619,1.31555,1.31602,662,4,0
1368064800,1.31602,1.3164799999999999,1.31583,1.31592,1125,4,0
1368068400,1.31593,1.31671,1.31563,1.31574,1440,4,0
1368072000,1.31574,1.31654,1.31544,1.3165200000000001,701,4,0
1368075600,1.31651,1.3167200000000001,1.3161399999999999,1.31639,717,1,0
1368079200,1.31639,1.3166,1.3155299999999999,1.31612,1053,1,0
1368082800,1.31608,1.31612,1.3154,1.31549,766,1,0
1368086400,1.31548,1.31659,1.31535,1.31593,1299,4,0
1368090000,1.31586,1.3171300000000001,1.31412,1.3167499999999999,2245,4,0
1368093600,1.31677,1.31769,1.3149,1.31549,2461,2,0
1368097200,1.31548,1.31575,1.31344,1.31444,2355,4,0
1368100800,1.31443,1.31571,1.314,1.31514,1798,1,0
1368104400,1.31515,1.31516,1.31344,1.31436,1860,1,0
1368108000,1.3143500000000001,1.3146499999999999,1.31217,1.31322,2417,1,0
1368111600,1.31323,1.31426,1.30948,1.30965,3426,1,0
1368115200,1.30962,1.3106,1.3086,1.30953,2869,1,0
1368118800,1.30952,1.3106,1.3084,1.31043,1709,4,0
1368122400,1.31041,1.31141,1.3102,1.3112,1282,1,0
1368126000,1.31114,1.31128,1.30893,1.31016,2017,1,0
1368129600,1.31018,1.31046,1.30132,1.30155,4097,4,0
1368133200,1.30157,1.30447,1.30098,1.30323,2590,4,0
1368136800,1.30316,1.30453,1.30309,1.30409,1503,1,0
1368140400,1.3041800000000001,1.30443,1.3033000000000001,1.30441,1401,4,0
1368144000,1.30446,1.30451,1.30349,1.30397,1053,1,0
1368147600,1.3039100000000001,1.30401,1.30312,1.30315,1367,4,0
1368151200,1.30316,1.30359,1.30215,1.30286,1911,1,0
1368154800,1.30288,1.30447,1.30283,1.30398,1674,4,0
