time,open,high,low,close,tick_volume,spread,real_volume
1617792540,1.18733,1.18751,1.18733,1.18742,51,16,0
1617792600,1.18744,1.18751,1.18734,1.18751,41,16,0
1617792660,1.18749,1.18751,1.18743,1.18744,35,16,0
1617792720,1.18744,1.18744,1.18729,1.1874,30,16,0
1617792780,1.1874,1.1875,1.18736,1.1875,42,16,0
1617792840,1.1875,1.1875,1.18738,1.1874500000000001,33,16,0
1617792900,1.18746,1.18777,1.18742,1.18773,47,16,0
1617792960,1.18772,1.18775,1.18763,1.18766,45,16,0
1617793020,1.18766,1.18777,1.18766,1.18776,42,16,0
1617793080,1.18775,1.18801,1.18767,1.18801,60,16,0
1617793140,1.188,1.1881,1.1878,1.1878199999999999,58,16,0
1617793200,1.18775,1.18795,1.1875,1.18756,68,16,0
1617793260,1.18756,1.18775,1.18756,1.18771,54,16,0
1617793320,1.1877,1.18781,1.18763,1.18781,47,16,0
1617793380,1.18781,1.1878199999999999,1.18766,1.1878199999999999,44,16,0
1617793440,1.1877900000000001,1.18787,1.18776,1.18777,29,16,0
1617793500,1.1877900000000001,1.18787,1.18775,1.18777,24,16,0
1617793560,1.18777,1.1877900000000001,1.18758,1.18758,23,16,0
1617793620,1.18758,1.18776,1.18758,1.18768,39,16,0
1617793680,1.18768,1.18772,1.18764,1.18766,45,16,0
1617793740,1.18766,1.1877,1.1875499999999999,1.1877,44,16,0
1617793800,1.18772,1.18772,1.18742,1.18743,39,16,0
1617793860,1.18743,1.18749,1.18732,1.18742,55,16,0
1617793920,1.18742,1.18742,1.18731,1.18739,59,16,0
1617793980,1.18739,1.18741,1.1873,1.18735,38,16,0
1617794040,1.18737,1.1874,1.18727,1.18727,36,16,0
1617794100,1.1872099999999999,1.1872099999999999,1.187,1.187,60,16,0
1617794160,1.18704,1.18708,1.18679,1.18685,49,16,0
1617794220,1.18685,1.18685,1.18662,1.1868,49,16,0
1617794280,1.18679,1.1869,1.18678,1.18678,28,16,0
1617794340,1.18678,1.18689,1.18663,1.18665,42,16,0
1617794400,1.18665,1.18697,1.18656,1.1869399999999999,55,16,0
1617794460,1.1869399999999999,1.18696,1.18679,1.18696,46,16,0
1617794520,1.18696,1.18696,1.18665,1.18682,65,16,0
1617794580,1.18683,1.18698,1.18682,1.1868400000000001,58,16,0
1617794640,1.1868400000000001,1.18686,1.1865999999999999,1.18661,44,16,0
1617794700,1.18661,1.1868,1.1865999999999999,1.1868,43,16,0
1617794760,1.1868,1.1868,1.18655,1.18655,34,16,0
1617794820,1.18655,1.1865999999999999,1.18651,1.18653,27,16,0
1617794880,1.18656,1.18667,1.18655,1.18665,21,16,0
1617794940,1.18665,1.18667,1.1865999999999999,1.18665,29,16,0
1617795000,1.18667,1.1868400000000001,1.18663,1.1868,46,16,0
1617795060,1.1868,1.1868400000000001,1.18664,1.1867,35,16,0
1617795120,1.18669,1.1869399999999999,1.18669,1.18693,52,16,0
1617795180,1.18693,1.18716,1.18689,1.1871,43,16,0
1617795240,1.1871,1.18712,1.18699,1.187,22,16,0
1617795300,1.187,1.18709,1.1869399999999999,1.18704,24,16,0
1617795360,1.18704,1.18732,1.18704,1.18727,40,16,0
1617795420,1.18727,1.1875499999999999,1.18726,1.1875499999999999,43,16,0
1617795480,1.1875499999999999,1.18756,1.18749,1.18754,37,16,0
1617795540,1.18754,1.18768,1.18735,1.18735,44,16,0
1617795600,1.18735,1.18743,1.18727,1.18731,33,16,0
1617795660,1.1873,1.18738,1.1873,1.18737,31,16,0
1617795720,1.18737,1.18738,1.18723,1.18724,47,16,0
1617795780,1.18724,1.18731,1.18724,1.18729,26,16,0
1617795840,1.18729,1.18748,1.18724,1.18748,24,16,0
1617795900,1.18748,1.18767,1.18748,1.18767,27,16,0
1617795960,1.18767,1.1877900000000001,1.18766,1.1877900000000001,45,16,0
1617796020,1.1877900000000001,1.18788,1.18778,1.18788,18,16,0
1617796080,1.18788,1.18793,1.1877900000000001,1.1877900000000001,30,16,0
1617796140,1.1877900000000001,1.18798,1.1877900000000001,1.18795,32,16,0
1617796200,1.18796,1.18818,1.18796,1.18817,34,16,0
1617796260,1.18819,1.1885,1.18819,1.18839,42,16,0
1617796320,1.18836,1.18845,1.18828,1.18841,64,16,0
1617796380,1.18839,1.1886,1.18838,1.18853,34,16,0
1617796440,1.18853,1.18864,1.18853,1.1886,27,16,0
1617796500,1.1886,1.1886,1.18833,1.18835,53,16,0
1617796560,1.18835,1.18847,1.18835,1.18845,30,16,0
1617796620,1.18845,1.18847,1.18837,1.18841,25,16,0
1617796680,1.18841,1.18851,1.18841,1.18844,22,16,0
1617796740,1.18844,1.18866,1.18844,1.18854,37,16,0
1617796800,1.18853,1.18858,1.18853,1.18854,37,16,0
1617796860,1.18854,1.18858,1.18839,1.1884299999999999,33,16,0
1617796920,1.1884299999999999,1.18862,1.1884299999999999,1.18859,34,16,0
1617796980,1.18859,1.18863,1.18848,1.1885,23,16,0
1617797040,1.1885,1.18856,1.1884299999999999,1.1884299999999999,30,16,0
1617797100,1.1884299999999999,1.18848,1.1884000000000001,1.18848,31,16,0
